     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
(V5-V18,1)(V1-V5,2)(V24-V23,4)(V1-V8,4)(V4-V2,4)(V23-V5,5)(V2-V8,13)(V9-V18,13)(V15-V23,13)(V23-V21,14)(V6-V21,15)(V14-V7,15)(V19-V5,17)(V22-V1,19)(V2-V3,19)(V16-V22,19)(V11-V2,29)(V0-V4,33)(V8-V10,34)(V7-V13,34)(V20-V17,34)(V4-V17,34)(V10-V13,35)(V6-V12,43)最小生成树总权值为453
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   5  54   X   X  80  64  20   X   X  94   X  18   8   X   3   X   X   X  59  89   X   X  37   X 
 V1   5   X  76  66   X   X  69   X   X   X   X   X   3  48   X   X   X   X   X   X   X   X   X   X   X 
 V2  54  76   X   X   X  44   X   X   X   X   2  33   X  37   X   X  80  99   X   X   X   X  64  42   X 
 V3   X  66   X   X   X  73  81  20   X  79  40   X   X   5   X   X   X   X   X   X   X   X   X  91   X 
 V4   X   X   X   X   X   X   X  23  12  67  39   X  62   X  80  38   X  46  55   X   X   X   X  28   X 
 V5  80   X  44  73   X   X  65   X   X   X   X  32   X   X   X   X   X   X   X   X   4   X   X  64   X 
 V6  64  69   X  81   X  65   X   X   X   X   X  90   X   7   X   X   X   X   X   X  26   X  19  27   X 
 V7  20   X   X  20  23   X   X   X  17   X   X   X   X  41  33   X   X   X  98   X   X   X   X   X   X 
 V8   X   X   X   X  12   X   X  17   X   X   X   X   X   X   X   X   X   X   X  50   X  14   X   X  42 
 V9   X   X   X  79  67   X   X   X   X   X   X   X   X   X   X  89   X   X  93   X   X  96   X   X   X 
V10  94   X   2  40  39   X   X   X   X   X   X  76   X   X  20  19   X  63   X  49   X  80  89   X   X 
V11   X   X  33   X   X  32  90   X   X   X  76   X   X  44  15   X  95  70   X   X   X   X   X   X   X 
V12  18   3   X   X  62   X   X   X   X   X   X   X   X  91   X  58   X  69  64   X   X  35   X  60   X 
V13   8  48  37   5   X   X   7  41   X   X   X  44  91   X  37   X   X   X   X   X   X  11   X   X   X 
V14   X   X   X   X  80   X   X  33   X   X  20  15   X  37   X   X   X  22  15   X   X   X   X  80   X 
V15   3   X   X   X  38   X   X   X   X  89  19   X  58   X   X   X  76   X  19  45   X   X   X   X  18 
V16   X   X  80   X   X   X   X   X   X   X   X  95   X   X   X  76   X   X   X  62   X  25   X   X  34 
V17   X   X  99   X  46   X   X   X   X   X  63  70  69   X  22   X   X   X   X   X  62  51  51   X  58 
V18   X   X   X   X  55   X   X  98   X  93   X   X  64   X  15  19   X   X   X   X   X  60  59  95   X 
V19  59   X   X   X   X   X   X   X  50   X  49   X   X   X   X  45  62   X   X   X   X   X  12   X  41 
V20  89   X   X   X   X   4  26   X   X   X   X   X   X   X   X   X   X  62   X   X   X   X  47   X   X 
V21   X   X   X   X   X   X   X   X  14  96  80   X  35  11   X   X  25  51  60   X   X   X   X   X   X 
V22   X   X  64   X   X   X  19   X   X   X  89   X   X   X   X   X   X  51  59  12  47   X   X   X   X 
V23  37   X  42  91  28  64  27   X   X   X   X   X  60   X  80   X   X   X  95   X   X   X   X   X   X 
V24   X   X   X   X   X   X   X   X  42   X   X   X   X   X   X  18  34  58   X  41   X   X   X   X   X 
(V2-V10,2)(V1-V12,3)(V15-V0,3)(V20-V5,4)(V0-V1,5)(V13-V3,5)(V13-V6,7)(V13-V0,8)(V21-V13,11)(V8-V4,12)(V19-V22,12)(V21-V8,14)(V11-V14,15)(V14-V18,15)(V7-V8,17)(V15-V24,18)(V15-V10,19)(V18-V15,19)(V6-V22,19)(V14-V17,22)(V16-V21,25)(V6-V20,26)(V6-V23,27)(V4-V9,67)最小生成树总权值为375
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  44   X  93   X  71  85   X   X   X   X  29  41  44   X   X   X  16  22   X   1   X   X   X   X 
 V1  44   X   X  49   X   X  83   X   X   X  54  82  72   X   X   X   X   X   X   X   X   X   X   X  76 
 V2   X   X   X  99  88   X  48  18   X   X  18   X   X  69   X   X   X  80  56  94   X   X   3   X   X 
 V3  93  49  99   X   X   X   X   X   3   X   X   X   X   X   X  58   X   X   X   X   1  13   X   X   X 
 V4   X   X  88   X   X   X   1   X  78  15   X   X   X   X   X   X  82  20   X   X   X   X   X   X   X 
 V5  71   X   X   X   X   X   X   X   X   X   X   X  52   X   X   X  56   X   X   X   X  17   X  67   X 
 V6  85  83  48   X   1   X   X   X  98  67   X  23   1  85   X   X   X   X   X  11   1   X   X   X   X 
 V7   X   X  18   X   X   X   X   X   7  94   X   X  87   X   X   X   X  69  74  38  76   X   X   X   X 
 V8   X   X   X   3  78   X  98   7   X   X   X   X   X  18   X  57   X   6   X   X  93   X  44   X   X 
 V9   X   X   X   X  15   X  67  94   X   X   X  34  95   X   X   X   X   X  27   X   X   X   X  27   X 
V10   X  54  18   X   X   X   X   X   X   X   X  77   X  69   X  40  26   X   X  91   X   X   X  82   X 
V11  29  82   X   X   X   X  23   X   X  34  77   X   X  19   X   X   X   X  39   X   X   X   X 100  33 
V12  41  72   X   X   X  52   1  87   X  95   X   X   X  24  61  40  12   X   X  28   X   X   X   X  75 
V13  44   X  69   X   X   X  85   X  18   X  69  19  24   X  14   X   7   X  21   8  44   X   X   X   X 
V14   X   X   X   X   X   X   X   X   X   X   X   X  61  14   X   X   X   7   X   X   X  27   X  46   X 
V15   X   X   X  58   X   X   X   X  57   X  40   X  40   X   X   X  10   X   X   X   X   X   X  98   X 
V16   X   X   X   X  82  56   X   X   X   X  26   X  12   7   X  10   X   X  15   X  15  96   X  84   X 
V17  16   X  80   X  20   X   X  69   6   X   X   X   X   X   7   X   X   X   X   X  65   X   X   X  89 
V18  22   X  56   X   X   X   X  74   X  27   X  39   X  21   X   X  15   X   X  44  82   X  48   X   X 
V19   X   X  94   X   X   X  11  38   X   X  91   X  28   8   X   X   X   X  44   X   X   X   X  81  41 
V20   1   X   X   1   X   X   1  76  93   X   X   X   X  44   X   X  15  65  82   X   X   X   X  49   X 
V21   X   X   X  13   X  17   X   X   X   X   X   X   X   X  27   X  96   X   X   X   X   X   X   X   X 
V22   X   X   3   X   X   X   X   X  44   X   X   X   X   X   X   X   X   X  48   X   X   X   X   X   X 
V23   X   X   X   X   X  67   X   X   X  27  82 100   X   X  46  98  84   X   X  81  49   X   X   X   X 
V24   X  76   X   X   X   X   X   X   X   X   X  33  75   X   X   X   X  89   X  41   X   X   X   X   X 
(V20-V0,1)(V20-V6,1)(V6-V4,1)(V6-V12,1)(V3-V20,1)(V2-V22,3)(V8-V3,3)(V8-V17,6)(V13-V16,7)(V7-V8,7)(V14-V17,7)(V19-V13,8)(V16-V15,10)(V6-V19,11)(V21-V3,13)(V4-V9,15)(V18-V16,15)(V5-V21,17)(V2-V10,18)(V7-V2,18)(V13-V11,19)(V23-V9,27)(V11-V24,33)(V1-V0,44)最小生成树总权值为286
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  58   X  68   X  82  15   X   X   X   X  96   X  98   X  25   X   X   X   X  69   X   X   X 
 V1   X   X   2   X  12   X   X   X   X   X  19   X   4  41  74   2   X   X  57   X   X  69   X  21  85 
 V2  58   2   X   X   X   X   X   X  98   X   X   X  30  65   X   X   X   X   X  73  85  51   X  15   X 
 V3   X   X   X   X   X  86   X   X  69  48   X   4   X  83   X   X  22   X  28  65   X 100  46   X   X 
 V4  68  12   X   X   X   X   X   X  63   X   4  31   X   6  64  70  40   X   X  52  90   X  74  92   X 
 V5   X   X   X  86   X   X   X   X   X   X   X  40   3   X   X   X   X   X   X   X  30   X  68   X   X 
 V6  82   X   X   X   X   X   X   X   X   X   X   X  15   X   X   X  43  25  52   X  46   X   X   X   X 
 V7  15   X   X   X   X   X   X   X   X   X   X   X   X  29   X  66   X   X   X   X   X   X   X   X   X 
 V8   X   X  98  69  63   X   X   X   X   X   X  77  36   X   X   X   X  90  53   X  88   X  29   X  65 
 V9   X   X   X  48   X   X   X   X   X   X  48   X   X  79   X   X   X  94   X   X   X   X   X   X   X 
V10   X  19   X   X   4   X   X   X   X  48   X   X 100   X   X   X   X  91   X   X   X   X  58   X  93 
V11   X   X   X   4  31  40   X   X  77   X   X   X  58   X   X   X   X  48  56  80  54   X   X   X   X 
V12  96   4  30   X   X   3  15   X  36   X 100  58   X   X  89   X   X  26  56   X   X   X  89   X   X 
V13   X  41  65  83   6   X   X  29   X  79   X   X   X   X   X   X   X  54   X   X  37   4   X  40  39 
V14  98  74   X   X  64   X   X   X   X   X   X   X  89   X   X   X   X   X  54  99   X   X   X   X  97 
V15   X   2   X   X  70   X   X  66   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X 
V16  25   X   X  22  40   X  43   X   X   X   X   X   X   X   X   X   X   X   X 100   X  49   X   X   X 
V17   X   X   X   X   X   X  25   X  90  94  91  48  26  54   X   X   X   X   X   X   2   X   X   X   X 
V18   X  57   X  28   X   X  52   X  53   X   X  56  56   X  54   X   X   X   X   X   X   X  45   X   X 
V19   X   X  73  65  52   X   X   X   X   X   X  80   X   X  99   X 100   X   X   X   X   X  89  42  23 
V20   X   X  85   X  90  30  46   X  88   X   X  54   X  37   X   X   X   2   X   X   X   X  13  91   X 
V21  69  69  51 100   X   X   X   X   X   X   X   X   X   4   X   X  49   X   X   X   X   X   X   X   X 
V22   X   X   X  46  74  68   X   X  29   X  58   X  89   X   X   X   X   X  45  89  13   X   X  66  79 
V23   X  21  15   X  92   X   X   X   X   X   X   X   X  40   X   X   X   X   X  42  91   X  66   X   X 
V24   X  85   X   X   X   X   X   X  65   X  93   X   X  39  97   X   X   X   X  23   X   X  79   X   X 
(V1-V2,2)(V20-V17,2)(V1-V15,2)(V5-V12,3)(V4-V10,4)(V11-V3,4)(V21-V13,4)(V12-V1,4)(V4-V13,6)(V4-V1,12)(V22-V20,13)(V0-V7,15)(V23-V2,15)(V12-V6,15)(V3-V16,22)(V19-V24,23)(V6-V17,25)(V16-V0,25)(V3-V18,28)(V8-V22,29)(V7-V13,29)(V24-V13,39)(V9-V10,48)(V14-V18,54)最小生成树总权值为423
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X  40   X   X   X   X  96   X   X  23   X  86   X  62   X   X   X  66   X   X  36   X   X 
 V1   X   X  81  95  40   X   X   X   X   X   X  22   X   X   X   X   X   X   X   X  40   X  94   X   X 
 V2   X  81   X   X  92   X   X  41   X   X  18  67   X   X   7  73   X  57   X   X   7   X  99  35   X 
 V3  40  95   X   X   X   X   X  13   X   X  86   X   X   X   X  94   X   X  46   X   X   X   X  34  77 
 V4   X  40  92   X   X   X   X  36  83   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X 
 V5   X   X   X   X   X   X   X  13   X   8   X   X   X   X   X   X   X  72  20  12   X   X   X   X  39 
 V6   X   X   X   X   X   X   X   9  27   X   X   X   X   X   X   X   X   X   X   X  14  45   X  38   X 
 V7   X   X  41  13  36  13   9   X  66   X   X   X  83  44   X   X   X   X   8   X  46   X   X   X   X 
 V8  96   X   X   X  83   X  27  66   X  20   X   X   X   X  31  64   X   6  32   X  51  49   X  23   X 
 V9   X   X   X   X   X   8   X   X  20   X  33   X   X  21  20  95   X   X   X   X  26   X   X   X  96 
V10   X   X  18  86   X   X   X   X   X  33   X   X   X   X  86  94  56   X   X   X   X   X   X   X   X 
V11  23  22  67   X   X   X   X   X   X   X   X   X   X  33   X   X   X  47  20   X   X  37   X   X   X 
V12   X   X   X   X   X   X   X  83   X   X   X   X   X  87  88   X  69  81   X  76  26   X  23  33   X 
V13  86   X   X   X   X   X   X  44   X  21   X  33  87   X   X   X   X  19   X  15  10   1   X   X   X 
V14   X   X   7   X   X   X   X   X  31  20  86   X  88   X   X   X   2   X  71   X   X  91   X  33   X 
V15  62   X  73  94   X   X   X   X  64  95  94   X   X   X   X   X   X   X   X   X   X   X   X   X   X 
V16   X   X   X   X   X   X   X   X   X   X  56   X  69   X   2   X   X  67  65   X   X   X   X   7   X 
V17   X   X  57   X   X  72   X   X   6   X   X  47  81  19   X   X  67   X   X   X  26   X  13  78   X 
V18   X   X   X  46   X  20   X   8  32   X   X  20   X   X  71   X  65   X   X  61   X   X   X   X   8 
V19  66   X   X   X   X  12   X   X   X   X   X   X  76  15   X   X   X   X  61   X  88  81   X  29  68 
V20   X  40   7   X   X   X  14  46  51  26   X   X  26  10   X   X   X  26   X  88   X   X   X   X  38 
V21   X   X   X   X   X   X  45   X  49   X   X  37   X   1  91   X   X   X   X  81   X   X   X   X   X 
V22  36  94  99   X   X   X   X   X   X   X   X   X  23   X   X   X   X  13   X   X   X   X   X  94  95 
V23   X   X  35  34   X   X  38   X  23   X   X   X  33   X  33   X   7  78   X  29   X   X  94   X  21 
V24   X   X   X  77   X  39   X   X   X  96   X   X   X   X   X   X   X   X   8  68  38   X  95  21   X 
(V21-V13,1)(V16-V14,2)(V17-V8,6)(V23-V16,7)(V2-V14,7)(V20-V2,7)(V5-V9,8)(V7-V18,8)(V24-V18,8)(V7-V6,9)(V13-V20,10)(V5-V19,12)(V22-V17,13)(V7-V3,13)(V7-V5,13)(V20-V6,14)(V10-V2,18)(V17-V13,19)(V18-V11,20)(V1-V11,22)(V12-V22,23)(V11-V0,23)(V7-V4,36)(V0-V15,62)最小生成树总权值为361
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  10  51   X  32   X  93   X   X  64   X   X   X  60   X  41   X   X   X  79   X  81   X  14 
 V1   X   X   X   X  71   X   X   X  16  40  47   X  46   X   X   X   X   X   X  27  67  88   X   X   X 
 V2  10   X   X  62   X   X   X   X   X  71   X   X   X   X   X   X  74  51   X   X   X  65   X  95   X 
 V3  51   X  62   X  17   X   X   X   X   X   X  28   X  72  26   6  30   X   X   X   X  53   X  32   X 
 V4   X  71   X  17   X  11   X 100  20  42   X   X   X   X   X  72   X   X   X   X  89  94  50   X   X 
 V5  32   X   X   X  11   X   9   X   X   5  15   X   X   X   X   X  31   X   X   X   X  93  76   X   X 
 V6   X   X   X   X   X   9   X  46   X   X  91   X   X   X   X   X   X   X   2   X   X  21   X   X   X 
 V7  93   X   X   X 100   X  46   X   X   X   X  12   X   X   6   X   X   X   X   X  13   X   X   X   X 
 V8   X  16   X   X  20   X   X   X   X   X   X  39   X  46  39   X   X   X   X   X   X  55  64   X  73 
 V9   X  40  71   X  42   5   X   X   X   X  53   X   X  73  86   X   X   X   X   X   X   X  94  37   X 
V10  64  47   X   X   X  15  91   X   X  53   X   X   X   X   X   X   X   X   X  80   X   X   4  82   X 
V11   X   X   X  28   X   X   X  12  39   X   X   X   X   X   X  46   X   X   X   X  47  74   X   X   6 
V12   X  46   X   X   X   X   X   X   X   X   X   X   X  60   X   9   X   X   X  72  42   X   X  83   X 
V13   X   X   X  72   X   X   X   X  46  73   X   X  60   X  76  89   X   X   X  15  91   X   X   X  98 
V14  60   X   X  26   X   X   X   6  39  86   X   X   X  76   X   X  48   X   X   X  76   X  55   X  68 
V15   X   X   X   6  72   X   X   X   X   X   X  46   9  89   X   X   X   X  23   X   X  54   X   X   X 
V16  41   X  74  30   X  31   X   X   X   X   X   X   X   X  48   X   X  89  15  41   X   X   X   X   X 
V17   X   X  51   X   X   X   X   X   X   X   X   X   X   X   X   X  89   X   X   X  19   X   X  85   X 
V18   X   X   X   X   X   X   2   X   X   X   X   X   X   X   X  23  15   X   X  14  90   X   X   X  45 
V19   X  27   X   X   X   X   X   X   X   X  80   X  72  15   X   X  41   X  14   X   X   X   X  64  91 
V20  79  67   X   X  89   X   X  13   X   X   X  47  42  91  76   X   X  19  90   X   X  68   X   X   X 
V21   X  88  65  53  94  93  21   X  55   X   X  74   X   X   X  54   X   X   X   X  68   X   X   X  70 
V22  81   X   X   X  50  76   X   X  64  94   4   X   X   X  55   X   X   X   X   X   X   X   X  48   X 
V23   X   X  95  32   X   X   X   X   X  37  82   X  83   X   X   X   X  85   X  64   X   X  48   X   X 
V24  14   X   X   X   X   X   X   X  73   X   X   6   X  98  68   X   X   X  45  91   X  70   X   X   X 
(V18-V6,2)(V10-V22,4)(V9-V5,5)(V14-V7,6)(V15-V3,6)(V11-V24,6)(V12-V15,9)(V5-V6,9)(V2-V0,10)(V5-V4,11)(V11-V7,12)(V20-V7,13)(V24-V0,14)(V18-V19,14)(V5-V10,15)(V16-V18,15)(V19-V13,15)(V8-V1,16)(V4-V3,17)(V17-V20,19)(V8-V4,20)(V21-V6,21)(V14-V3,26)(V3-V23,32)最小生成树总权值为317
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X  22   X   X  15   6   X   X   X  67  26   X   X  26  85  45   2   X   X   1  65   X   X 
 V1   X   X  72   X   X  13   X   X  68   X   X   X   X   X  82   X   X  75   X   X  58  79   X   X   X 
 V2   X  72   X   X  41  23  50   X   X  13   X  23   X   X   3   X   X   X   X   X   X   X  72   X   X 
 V3  22   X   X   X   X  13   X   X   X   X  28   X   X   X   2  18   X   X   X  73   X  42   X   X  31 
 V4   X   X  41   X   X  61   X   9   X   X   X   X  58   X  85  66   X   X   7   X  30  82  31   X   X 
 V5   X  13  23  13  61   X   X   X   X   X   X   8   X   X   X   X   X   X   X  69   X  39  70   X  38 
 V6  15   X  50   X   X   X   X   X   X   X  66   X   X   X  84   X   X   X   X   X   X  40  20   X   X 
 V7   6   X   X   X   9   X   X   X   X   X   X   X  46   X  98   X   6   X  57   9  44   X  47   X   X 
 V8   X  68   X   X   X   X   X   X   X   X  87   X  99   X   X  38   X  84  63   X  83   X   X   X  79 
 V9   X   X  13   X   X   X   X   X   X   X   X   5  24  70   X   X   X   X   2  83  20   X   X   X   X 
V10   X   X   X  28   X   X  66   X  87   X   X   X   X   X   X   X  96   X   X  95   X   X   X  53   X 
V11  67   X  23   X   X   8   X   X   X   5   X   X   X  91   X  59  13  72   X   X   X   X   X   X   X 
V12  26   X   X   X  58   X   X  46  99  24   X   X   X   X  36  45   X   X  21   X   X   X   X   X   X 
V13   X   X   X   X   X   X   X   X   X  70   X  91   X   X   X   X   X  62   X   X   X  26   X   X   X 
V14   X  82   3   2  85   X  84  98   X   X   X   X  36   X   X   9   X  95  31   X   X   X  13   X  39 
V15  26   X   X  18  66   X   X   X  38   X   X  59  45   X   9   X  79  53  32   X   X   X   X  74   X 
V16  85   X   X   X   X   X   X   6   X   X  96  13   X   X   X  79   X   X   X  39   X   X   X   6   X 
V17  45  75   X   X   X   X   X   X  84   X   X  72   X  62  95  53   X   X   X   X  84   X  47   X   X 
V18   2   X   X   X   7   X   X  57  63   2   X   X  21   X  31  32   X   X   X   X   X  64   X   X  47 
V19   X   X   X  73   X  69   X   9   X  83  95   X   X   X   X   X  39   X   X   X  99   X   X   X   X 
V20   X  58   X   X  30   X   X  44  83  20   X   X   X   X   X   X   X  84   X  99   X   X   X   X   X 
V21   1  79   X  42  82  39  40   X   X   X   X   X   X  26   X   X   X   X  64   X   X   X  31   X  10 
V22  65   X  72   X  31  70  20  47   X   X   X   X   X   X  13   X   X  47   X   X   X  31   X   X   X 
V23   X   X   X   X   X   X   X   X   X   X  53   X   X   X   X  74   6   X   X   X   X   X   X   X   X 
V24   X   X   X  31   X  38   X   X  79   X   X   X   X   X  39   X   X   X  47   X   X  10   X   X   X 
(V21-V0,1)(V18-V0,2)(V9-V18,2)(V3-V14,2)(V2-V14,3)(V11-V9,5)(V16-V7,6)(V23-V16,6)(V0-V7,6)(V4-V18,7)(V5-V11,8)(V7-V19,9)(V15-V14,9)(V21-V24,10)(V22-V14,13)(V5-V3,13)(V5-V1,13)(V0-V6,15)(V20-V9,20)(V12-V18,21)(V13-V21,26)(V3-V10,28)(V15-V8,38)(V17-V0,45)最小生成树总权值为308
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  39   X   X   X   X   X   X   X   X   X   3   X   X   X   X   X   X   X  71  50  19  75   X 
 V1   X   X   X   X   X   X   X   X  57   X  97   X   7  39  50   X   X   X  33   X   X   X   X   X   X 
 V2  39   X   X   1  71   X   X   3  80  78  16   X   X   X   X   X   X   X  93  27  93   X   X  40   X 
 V3   X   X   1   X  23   X  25   X   X   X  95   X   X   4  92   X   X  41   X   X   X  45   X   X   X 
 V4   X   X  71  23   X   X   X   X   X   X   X   X   X   X   X   X   X  40  20   X  86   X  23   X   X 
 V5   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   6   X   X   X  62   X  33   X   X  78 
 V6   X   X   X  25   X   X   X   X  48   X  53   8   X   X  37   X   X  94   X   X   X  76  68  76  68 
 V7   X   X   3   X   X   X   X   X  70   X   6   X  91  45   X  28   X   X  90   X   X   X   X  49  55 
 V8   X  57  80   X   X   X  48  70   X   X   X   X   8   X   X  27   X  99   X   X  52  54   X   X  74 
 V9   X   X  78   X   X   X   X   X   X   X   X   X   X   X   X   X  41  90   X   X   X   8   X   X   X 
V10   X  97  16  95   X   X  53   6   X   X   X  18  56   X   X   X  55  17   X   X   X   X   X   X   X 
V11   X   X   X   X   X   X   8   X   X   X  18   X   X  53   X   X   X   X  91   X   X   X  71   X   X 
